Date,Contact,Amount,Nominal
2024-09-30,North West Numbers - Hourly Accountancy Fee - League of Curiosity,-70.0,Sales
2024-10-01,Peter Broughton - Admin Support throughout July 2024,-632.34,Sales
2024-10-01,"claire@skillsblueprint.co.uk - Monthly fee for Skills BluePrint - includes the bookkeeping, Limited Company Accounts, filings with HMRC and Companies House (including confirmation statement and Corporation Tax Returns), payroll, monitoring of VAT thresholds and pension administration (if any) for your employees",-65.88,Sales
2024-10-01,CNet Construction - Cnet Monthly Fee,-130.0,Sales
2024-10-01,ENHANCE IFM LTD - Enhance IFM Monthly Fee,-73.62,Sales
2024-10-01,"Perfection Pest Control Limited - Monthly Accounting Fee to cover the annual cost of:
1 x Preparation and Submission of Director SA100
1 x Preparation and Submission of CT600
1 x Preparation and Submission of Annual Accounts with Companies House
1 x Annual Confirmation Statement
Quarterly VAT preparation and submission
Monthly Bookkeeping (up to 3hrs included)",-108.9,Sales
2024-10-01,"Francis, Jade - Self Employed Monthly Fee",-25.0,Sales
2024-10-01,claire@clairelockey.co.uk - Claire Lockey Monthly Fee,-40.0,Sales
2024-10-01,Ace of Maids - Ace of Maids Monthly Fee,-64.0,Sales
2024-10-01,ENHANCE IFM LTD - Faster Payments In,73.62,Sales
2024-10-02,KC SWIMMERS LTD - Employee Payslip Rate,-22.5,Sales
2024-10-04,Charlotte Lawrence,-28.0,Sales
2024-10-11,Charlotte Lawrence,-28.0,Sales
2024-10-11,HOMEASSISTAN LTD - Faster Payments In,-15.0,Sales
2024-10-18,Charlotte Lawrence,-28.0,Sales
2024-10-25,Charlotte Lawrence,-28.0,Sales
2024-10-31,TI Accountancy Limited - Hourly Bookkeeping Fee - Absolute Bubble Football,-20.0,Sales
2024-10-31,TI Accountancy Limited - Hourly Bookkeeping Fee - Big Idea Media,-90.0,Sales
2024-10-31,TI Accountancy Limited - Hourly Bookkeeping Fee - Big Idea Ventures,-65.0,Sales
2024-10-31,TI Accountancy Limited - Hourly Bookkeeping Fee - BWB Technologies,-70.0,Sales
2024-10-31,TI Accountancy Limited - Hourly Bookkeeping Fee - Dogwood,-30.0,Sales
2024-10-31,TI Accountancy Limited - Hourly Bookkeeping Fee - Hackney Chiropractic,-80.0,Sales
2024-10-31,TI Accountancy Limited - Hourly Bookkeeping Fee - Nubian Skin,-45.0,Sales
2024-10-31,TI Accountancy Limited - Hourly Bookkeeping Fee - Scentventure,-30.0,Sales
2024-10-31,TI Accountancy Limited - Hourly Bookkeeping Fee - Sports Coaches South West,-90.0,Sales
2024-10-31,TI Accountancy Limited - Hourly Bookkeeping Fee - Torque Monkey,-160.0,Sales
2024-10-31,TI Accountancy Limited - Hourly Bookkeeping Fee - Top Bounce,-20.0,Sales
2024-10-31,TI Accountancy Limited - New Employee - SCSW,-3.5,Sales
2024-10-31,TI Accountancy Limited - Year End - Absolute Bubble Football Limited,-20.83,Sales
2024-10-31,TI Accountancy Limited - Confirmation Statement - Absolute Bubble Football Limited,-3.33,Sales
2024-10-31,TI Accountancy Limited - Payroll - Absolute Bubble Football Limited,-15.0,Sales
2024-10-31,TI Accountancy Limited - Tax Investigation Insurance - Absolute Bubble Football Limited,-5.0,Sales
2024-10-31,TI Accountancy Limited - Year End - Big Idea Media Ltd,-20.83,Sales
2024-10-31,TI Accountancy Limited - Confirmation Statement - Big Idea Media Ltd,-3.33,Sales
2024-10-31,TI Accountancy Limited - Payroll - Big Idea Media Ltd,-24.0,Sales
2024-10-31,TI Accountancy Limited - Tax Investigation Insurance - Big Idea Media Ltd,-5.0,Sales
2024-10-31,TI Accountancy Limited - Year End - Big Idea Ventures Limited,-20.83,Sales
2024-10-31,TI Accountancy Limited - Confirmation Statement - Big Idea Ventures Ltd,-3.33,Sales
2024-10-31,TI Accountancy Limited - Payroll - Big Idea Ventures Ltd,-15.0,Sales
2024-10-31,TI Accountancy Limited - Year End - BWB Technologies Limited,-20.83,Sales
2024-10-31,TI Accountancy Limited - Tax Investigation Insurance - Big Idea Ventures Ltd,-5.0,Sales
2024-10-31,TI Accountancy Limited - Confirmation Statement - BWB Technologies Limited,-3.33,Sales
2024-10-31,TI Accountancy Limited - Payroll - BWB Technologies Limited,-24.0,Sales
2024-10-31,TI Accountancy Limited - Tax Investigation Insurance - BWB Technologies Limited,-5.0,Sales
2024-10-31,TI Accountancy Limited - Year End - Dogwood Adventure Play Limited,-20.83,Sales
2024-10-31,TI Accountancy Limited - Confirmation Statement - Dogwood Adventure Play Limited,-3.33,Sales
2024-10-31,TI Accountancy Limited - Payroll -  Dogwood Adventure Play Limited,-15.0,Sales
2024-10-31,TI Accountancy Limited - Tax Investigation Insurance - Dogwood Adventure Play Limited,-5.0,Sales
2024-10-31,TI Accountancy Limited - Year End - Hackney Chiropractic Limited,-20.83,Sales
2024-10-31,TI Accountancy Limited - Confirmation Statement - Hackney Chiropractic Limited,-3.33,Sales
2024-10-31,TI Accountancy Limited - Payroll - Hackney Chiropractic Limited,-30.0,Sales
2024-10-31,TI Accountancy Limited - Tax Investigation Insurance - Hackney Chiropractic Limited,-5.0,Sales
2024-10-31,TI Accountancy Limited - Year End - Nubian Skin Limited,-20.83,Sales
2024-10-31,TI Accountancy Limited - Confirmation Statement - Nubian Skin Limited,-3.33,Sales
2024-10-31,TI Accountancy Limited - Payroll - Nubian Skin Limited,-15.0,Sales
2024-10-31,TI Accountancy Limited - Tax Investigation Insurance - Nubian Skin Limited,-5.0,Sales
2024-10-31,TI Accountancy Limited - Year End - Scentventure Limited,-20.83,Sales
2024-10-31,TI Accountancy Limited - Confirmation Statement - Scentventure Limited,-3.33,Sales
2024-10-31,TI Accountancy Limited - Payroll - Scentventure Limited,-15.0,Sales
2024-10-31,TI Accountancy Limited - Tax Investigation Insurance - Scentventure Limited,-5.0,Sales
2024-10-31,TI Accountancy Limited - Year End - Sports Coaches South West Limited,-20.83,Sales
2024-10-31,TI Accountancy Limited - Confirmation Statement - Sports Coaches South West Limited,-3.33,Sales
2024-10-31,TI Accountancy Limited - Payroll - Sports Coaches South West Limited,-24.0,Sales
2024-10-31,TI Accountancy Limited - Year End - Torque Monkey Limited,-20.83,Sales
2024-10-31,TI Accountancy Limited - Confirmation Statement - Torque Monkey Limited,-3.33,Sales
2024-10-31,TI Accountancy Limited - Payroll - Torque Monkey Limited,-15.0,Sales
2024-10-31,TI Accountancy Limited - Tax Investigation Insurance - Torque Monkey Limited,-5.0,Sales
2024-10-31,TI Accountancy Limited - Year End - Top Bounce Tennis,-14.58,Sales
2024-10-31,TI Accountancy Limited - Tax Investigation Insurance - Top Bounce Tennis,-5.0,Sales
2024-11-01,Peter Broughton - Admin Support throughout August 2024,-667.3,Sales
2024-11-01,Ace of Maids - Ace of Maids Monthly Fee,-64.0,Sales
2024-11-01,claire@clairelockey.co.uk - Claire Lockey Monthly Fee,-40.0,Sales
2024-11-01,CNet Construction - Cnet Monthly Fee,-130.0,Sales
2024-11-01,"claire@skillsblueprint.co.uk - Monthly fee for Skills BluePrint - includes the bookkeeping, Limited Company Accounts, filings with HMRC and Companies House (including confirmation statement and Corporation Tax Returns), payroll, monitoring of VAT thresholds and pension administration (if any) for your employees",-65.88,Sales
2024-11-01,"Francis, Jade - Self Employed Monthly Fee",-25.0,Sales
2024-11-01,ADHD Advocate - Hourly Accountancy Fee,-140.0,Sales
2024-11-01,Admin Fairy - Hourly Accountancy Fee,-20.0,Sales
2024-11-01,At Home Assistant - Admin Support throughout October 2024,-20.0,Sales
2024-11-01,Athena Home Services Ltd - Employee Pay Rate,-5.0,Sales
2024-11-01,Becat Projects Ltd - Standard Xero Licence,-36.0,Sales
2024-11-01,Becat Projects Ltd - Payroll,-3.0,Sales
2024-11-01,Becat Projects Ltd - Meeting and Training,-25.0,Sales
2024-11-01,Breckon Consulting - Hourly Accountancy Fee - FKnox,-55.0,Sales
2024-11-01,Breckon Consulting - Admin Support throughout September 2024,-10.0,Sales
2024-11-01,Downright Excellent - Dex Day Rate,-525.0,Sales
2024-11-01,Fuller Times - Payroll Setup,-35.0,Sales
2024-11-01,Fuller Times - Employee Payslip Rate (3 Months x 2 people),-21.0,Sales
2024-11-01,Fuller Times - Hourly Accountancy Fee (Bookeeping),-56.25,Sales
2024-11-01,IRCM - Admin Support throughout October 2024,-270.0,Sales
2024-11-01,IRCM - Hourly Bookkeeping Fee,-25.0,Sales
2024-11-01,IRCM - Xero Standard Licence,-36.0,Sales
2024-11-01,KC SWIMMERS LTD - Employee Payslip Rate,-25.0,Sales
2024-11-01,Lightwater Playing Fields Association - Sage 50,-110.4,Sales
2024-11-01,Lightwater Playing Fields Association - Hourly Accountancy Fee,-180.0,Sales
2024-11-01,Ministry VA - Admin Support throughout October 2024,-84.0,Sales
2024-11-01,North West Numbers - Hourly Bookkeeping Fee - League of Curiosity,-90.0,Sales
2024-11-01,North West Numbers - Hourly Bookkeeping Fee - VFTS,-220.0,Sales
2024-11-01,Opal VA - Corporation Tax Return,-75.0,Sales
2024-11-01,Randalls - Employee Payslip Rate,-45.0,Sales
2024-11-01,Charlotte Lawrence,-28.0,Sales
2024-11-01,Mazuma Money - Absorb/ TIA Monthly Fee,-960.0,Sales
2024-11-08,Charlotte Lawrence,-28.0,Sales
2024-11-15,Charlotte Lawrence,-28.0,Sales
2024-11-21,Mazuma Money - Absorb/ TIA Monthly Fee,96.0,Sales
2024-11-22,Charlotte Lawrence,-28.0,Sales
2024-11-29,Charlotte Lawrence,-28.0,Sales
2024-12-01,Peter Broughton - Admin Support throughout September 2024,-517.5,Sales
2024-12-01,Mazuma Money - Absorb/ TIA Monthly Fee,-960.0,Sales
2024-12-01,TI Accountancy Limited - Year End - Absolute Bubble Football Limited,-20.83,Sales
2024-12-01,TI Accountancy Limited - Confirmation Statement - Absolute Bubble Football Limited,-3.33,Sales
2024-12-01,TI Accountancy Limited - Payroll - Absolute Bubble Football Limited,-15.0,Sales
2024-12-01,TI Accountancy Limited - Tax Investigation Insurance - Absolute Bubble Football Limited,-5.0,Sales
2024-12-01,TI Accountancy Limited - Year End - Big Idea Media Ltd,-20.83,Sales
2024-12-01,TI Accountancy Limited - Confirmation Statement - Big Idea Media Ltd,-3.33,Sales
2024-12-01,TI Accountancy Limited - Payroll - Big Idea Media Ltd,-24.0,Sales
2024-12-01,TI Accountancy Limited - Tax Investigation Insurance - Big Idea Media Ltd,-5.0,Sales
2024-12-01,TI Accountancy Limited - Year End - Big Idea Ventures Limited,-20.83,Sales
2024-12-01,TI Accountancy Limited - Confirmation Statement - Big Idea Ventures Ltd,-3.33,Sales
2024-12-01,TI Accountancy Limited - Payroll - Big Idea Ventures Ltd,-15.0,Sales
2024-12-01,TI Accountancy Limited - Year End - BWB Technologies Limited,-20.83,Sales
2024-12-01,TI Accountancy Limited - Tax Investigation Insurance - Big Idea Ventures Ltd,-5.0,Sales
2024-12-01,TI Accountancy Limited - Confirmation Statement - BWB Technologies Limited,-3.33,Sales
2024-12-01,TI Accountancy Limited - Payroll - BWB Technologies Limited,-24.0,Sales
2024-12-01,TI Accountancy Limited - Tax Investigation Insurance - BWB Technologies Limited,-5.0,Sales
2024-12-01,TI Accountancy Limited - Year End - Dogwood Adventure Play Limited,-20.83,Sales
2024-12-01,TI Accountancy Limited - Confirmation Statement - Dogwood Adventure Play Limited,-3.33,Sales
2024-12-01,TI Accountancy Limited - Payroll -  Dogwood Adventure Play Limited,-15.0,Sales
2024-12-01,TI Accountancy Limited - Tax Investigation Insurance - Dogwood Adventure Play Limited,-5.0,Sales
2024-12-01,TI Accountancy Limited - Year End - Hackney Chiropractic Limited,-20.83,Sales
2024-12-01,TI Accountancy Limited - Confirmation Statement - Hackney Chiropractic Limited,-3.33,Sales
2024-12-01,TI Accountancy Limited - Payroll - Hackney Chiropractic Limited,-30.0,Sales
2024-12-01,TI Accountancy Limited - Tax Investigation Insurance - Hackney Chiropractic Limited,-5.0,Sales
2024-12-01,TI Accountancy Limited - Year End - Nubian Skin Limited,-20.83,Sales
2024-12-01,TI Accountancy Limited - Confirmation Statement - Nubian Skin Limited,-3.33,Sales
2024-12-01,TI Accountancy Limited - Payroll - Nubian Skin Limited,-15.0,Sales
2024-12-01,TI Accountancy Limited - Tax Investigation Insurance - Nubian Skin Limited,-5.0,Sales
2024-12-01,TI Accountancy Limited - Year End - Scentventure Limited,-20.83,Sales
2024-12-01,TI Accountancy Limited - Confirmation Statement - Scentventure Limited,-3.33,Sales
2024-12-01,TI Accountancy Limited - Payroll - Scentventure Limited,-15.0,Sales
2024-12-01,TI Accountancy Limited - Tax Investigation Insurance - Scentventure Limited,-5.0,Sales
2024-12-01,TI Accountancy Limited - Year End - Sports Coaches South West Limited,-20.83,Sales
2024-12-01,TI Accountancy Limited - Confirmation Statement - Sports Coaches South West Limited,-3.33,Sales
2024-12-01,TI Accountancy Limited - Payroll - Sports Coaches South West Limited,-24.0,Sales
2024-12-01,TI Accountancy Limited - Year End - Torque Monkey Limited,-20.83,Sales
2024-12-01,TI Accountancy Limited - Confirmation Statement - Torque Monkey Limited,-3.33,Sales
2024-12-01,TI Accountancy Limited - Payroll - Torque Monkey Limited,-15.0,Sales
2024-12-01,TI Accountancy Limited - Tax Investigation Insurance - Torque Monkey Limited,-5.0,Sales
2024-12-01,TI Accountancy Limited - Year End - Top Bounce Tennis,-14.58,Sales
2024-12-01,TI Accountancy Limited - Tax Investigation Insurance - Top Bounce Tennis,-5.0,Sales
2024-12-01,CNet Construction - Cnet Monthly Fee,-130.0,Sales
2024-12-01,claire@clairelockey.co.uk - Claire Lockey Monthly Fee,-40.0,Sales
2024-12-01,Ace of Maids - Ace of Maids Monthly Fee,-64.0,Sales
2024-12-01,ADHD Advocate - Hourly Accountancy Fee,-260.0,Sales
2024-12-01,Admin Fairy - Hourly Accountancy Fee,-20.0,Sales
2024-12-01,Athena Home Services Ltd - Employee Payslip Rate,-5.0,Sales
2024-12-01,Becat Projects Ltd - Standard Xero Licence,-36.0,Sales
2024-12-01,Becat Projects Ltd - Payroll,-3.0,Sales
2024-12-01,Downright Excellent - Dex Day Rate,-600.0,Sales
2024-12-01,"Egan, Sara Egan - Hourly Accountancy Fee",-40.0,Sales
2024-12-01,Fuller Times - Employee Payslip Rate,-7.0,Sales
2024-12-01,Fuller Times - Hourly Accountancy Fee (Bookeeping),-37.5,Sales
2024-12-01,IRCM - Admin Support throughout November 2024,-247.5,Sales
2024-12-01,IRCM - Hourly Bookkeeping Fee,-60.0,Sales
2024-12-01,IRCM - Xero Standard Licence,-36.0,Sales
2024-12-01,KC SWIMMERS LTD - Employee Payslip Rate,-30.0,Sales
2024-12-01,Larkspur Business Services - Preparation and Submission of Corporation Tax Return (inclusive of Companies House Submissions),-250.0,Sales
2024-12-01,Lightwater Playing Fields Association - Sage 50,-110.4,Sales
2024-12-01,Lightwater Playing Fields Association - Hourly Accountancy Fee,-260.0,Sales
2024-12-01,Ministry VA - Admin Support throughout November 2024,-21.0,Sales
2024-12-01,North West Numbers - Hourly Accountancy Fee - Visit From the Stork,-449.0,Sales
2024-12-01,Randalls - Employee Payslip Rate,-51.0,Sales
2024-12-01,TI Accountancy Limited - Torque Monkey Year End 23/24,-400.0,Sales
2024-12-01,TI Accountancy Limited - Hourly Bookkeeping Fee - Absolute Bubble Football,-10.0,Sales
2024-12-01,TI Accountancy Limited - Hourly Bookkeeping Fee - Big Idea Media,-100.0,Sales
2024-12-01,TI Accountancy Limited - Hourly Bookkeeping Fee - Big Idea Mentoring,-60.0,Sales
2024-12-01,TI Accountancy Limited - Hourly Bookkeeping Fee - BWB Technologies,-100.0,Sales
2024-12-01,TI Accountancy Limited - Hourly Bookkeeping Fee - Dogwood,-20.0,Sales
2024-12-01,TI Accountancy Limited - Hourly Bookkeeping Fee - Hackney Chiropractic,-80.0,Sales
2024-12-01,TI Accountancy Limited - Hourly Bookkeeping Fee - Nubian Skin,-45.0,Sales
2024-12-01,TI Accountancy Limited - Hourly Bookkeeping Fee - Torque Monkey,-100.0,Sales
2024-12-01,TI Accountancy Limited - Hourly Bookkeeping Fee - Scentventure,-25.0,Sales
2024-12-01,TI Accountancy Limited - Hourly Accountancy Fee - Sports Coaches South West,-100.0,Sales
2024-12-01,TI Accountancy Limited - Hourly Bookkeeping Fee - Top Bounce Tennis,-20.0,Sales
2024-12-01,TI Accountancy Limited - Hourly Bookkeeping Fee - SCSW - Support with HMRC Enquiry,-25.0,Sales
2024-12-01,TI Accountancy Limited - Admin Support throughout November (Teresa),-54.0,Sales
2024-12-01,TI Accountancy Limited - Additional Payslips for SCSW (October),-5.0,Sales
2024-12-01,TI Accountancy Limited - Additional Payslips for SCSW (November),-102.5,Sales
2024-12-01,TI Accountancy Limited - Additional Payslips for ABF (November),-15.0,Sales
2024-12-01,At Home Assistant - Admin Support throughout November 2024,-20.0,Sales
2024-12-01,"The Skills Blueprint - Monthly fee for Skills BluePrint - includes the bookkeeping, Limited Company Accounts, filings with HMRC and Companies House (including confirmation statement and Corporation Tax Returns), payroll, monitoring of VAT thresholds and pension administration (if any) for your employees",-65.88,Sales
2024-12-01,"Francis, Jade - Self Employed Monthly Fee",-25.0,Sales
2024-12-06,Charlotte Lawrence,-28.0,Sales
2024-12-13,Charlotte Lawrence,-28.0,Sales
2024-12-20,Charlotte Lawrence,-28.0,Sales
2024-12-27,Charlotte Lawrence,-28.0,Sales
2024-12-31,Payment: ENHANCE IFM LTD - Faster Payments In,73.62,Sales
2024-12-31,At Home Assistant - Admin Support throughout December 2024,-20.0,Sales
2025-01-01,Peter Broughton - Admin Support throughout October 2024,-436.5,Sales
2025-01-01,TI Accountancy Limited - Year End - Absolute Bubble Football Limited,-20.83,Sales
2025-01-01,TI Accountancy Limited - Confirmation Statement - Absolute Bubble Football Limited,-3.33,Sales
2025-01-01,TI Accountancy Limited - Payroll - Absolute Bubble Football Limited,-15.0,Sales
2025-01-01,TI Accountancy Limited - Tax Investigation Insurance - Absolute Bubble Football Limited,-5.0,Sales
2025-01-01,TI Accountancy Limited - Year End - Big Idea Media Ltd,-20.83,Sales
2025-01-01,TI Accountancy Limited - Confirmation Statement - Big Idea Media Ltd,-3.33,Sales
2025-01-01,TI Accountancy Limited - Payroll - Big Idea Media Ltd,-24.0,Sales
2025-01-01,TI Accountancy Limited - Tax Investigation Insurance - Big Idea Media Ltd,-5.0,Sales
2025-01-01,TI Accountancy Limited - Year End - Big Idea Ventures Limited,-20.83,Sales
2025-01-01,TI Accountancy Limited - Confirmation Statement - Big Idea Ventures Ltd,-3.33,Sales
2025-01-01,TI Accountancy Limited - Payroll - Big Idea Ventures Ltd,-15.0,Sales
2025-01-01,TI Accountancy Limited - Year End - BWB Technologies Limited,-20.83,Sales
2025-01-01,TI Accountancy Limited - Tax Investigation Insurance - Big Idea Ventures Ltd,-5.0,Sales
2025-01-01,TI Accountancy Limited - Confirmation Statement - BWB Technologies Limited,-3.33,Sales
2025-01-01,TI Accountancy Limited - Payroll - BWB Technologies Limited,-24.0,Sales
2025-01-01,TI Accountancy Limited - Tax Investigation Insurance - BWB Technologies Limited,-5.0,Sales
2025-01-01,TI Accountancy Limited - Year End - Dogwood Adventure Play Limited,-20.83,Sales
2025-01-01,TI Accountancy Limited - Confirmation Statement - Dogwood Adventure Play Limited,-3.33,Sales
2025-01-01,TI Accountancy Limited - Payroll -  Dogwood Adventure Play Limited,-15.0,Sales
2025-01-01,TI Accountancy Limited - Tax Investigation Insurance - Dogwood Adventure Play Limited,-5.0,Sales
2025-01-01,TI Accountancy Limited - Year End - Hackney Chiropractic Limited,-20.83,Sales
2025-01-01,TI Accountancy Limited - Confirmation Statement - Hackney Chiropractic Limited,-3.33,Sales
2025-01-01,TI Accountancy Limited - Payroll - Hackney Chiropractic Limited,-30.0,Sales
2025-01-01,TI Accountancy Limited - Tax Investigation Insurance - Hackney Chiropractic Limited,-5.0,Sales
2025-01-01,TI Accountancy Limited - Year End - Nubian Skin Limited,-20.83,Sales
2025-01-01,TI Accountancy Limited - Confirmation Statement - Nubian Skin Limited,-3.33,Sales
2025-01-01,TI Accountancy Limited - Payroll - Nubian Skin Limited,-15.0,Sales
2025-01-01,TI Accountancy Limited - Tax Investigation Insurance - Nubian Skin Limited,-5.0,Sales
2025-01-01,TI Accountancy Limited - Year End - Scentventure Limited,-20.83,Sales
2025-01-01,TI Accountancy Limited - Confirmation Statement - Scentventure Limited,-3.33,Sales
2025-01-01,TI Accountancy Limited - Payroll - Scentventure Limited,-15.0,Sales
2025-01-01,TI Accountancy Limited - Tax Investigation Insurance - Scentventure Limited,-5.0,Sales
2025-01-01,TI Accountancy Limited - Year End - Sports Coaches South West Limited,-20.83,Sales
2025-01-01,TI Accountancy Limited - Confirmation Statement - Sports Coaches South West Limited,-3.33,Sales
2025-01-01,TI Accountancy Limited - Payroll - Sports Coaches South West Limited,-24.0,Sales
2025-01-01,TI Accountancy Limited - Year End - Top Bounce Tennis,-14.58,Sales
2025-01-01,TI Accountancy Limited - Tax Investigation Insurance - Top Bounce Tennis,-5.0,Sales
2025-01-01,CNet Construction - Cnet Monthly Fee,-130.0,Sales
2025-01-01,"Francis, Jade - Self Employed Monthly Fee",-25.0,Sales
2025-01-01,claire@clairelockey.co.uk - Claire Lockey Monthly Fee,-40.0,Sales
2025-01-01,Ace of Maids - Ace of Maids Monthly Fee,-64.0,Sales
2025-01-01,Downright Excellent - Dex Day Rate,-300.0,Sales
2025-01-01,Mazuma Money - Absorb/ TIA Monthly Fee,-960.0,Sales
2025-01-01,"The Skills Blueprint - Monthly fee for Skills BluePrint - includes the bookkeeping, Limited Company Accounts, filings with HMRC and Companies House (including confirmation statement and Corporation Tax Returns), payroll, monitoring of VAT thresholds and pension administration (if any) for your employees",-65.88,Sales
2025-01-03,Charlotte Lawrence,-28.0,Sales
2025-01-06,ADHD Advocate - Hourly Accountancy Fee,-165.0,Sales
2025-01-06,Becat Projects Ltd - Standard Xero Licence,-36.0,Sales
2025-01-06,Becat Projects Ltd - Payroll,-3.0,Sales
2025-01-06,IRCM - Admin Support throughout December 2024,-116.25,Sales
2025-01-06,IRCM - Hourly Bookkeeping Fee,-25.0,Sales
2025-01-06,IRCM - Xero Standard Licence,-36.0,Sales
2025-01-06,KC SWIMMERS LTD - Employee Payslip Rate,-30.0,Sales
2025-01-06,Lightwater Playing Fields Association - Sage 50,-110.4,Sales
2025-01-06,Lightwater Playing Fields Association - Hourly Accountancy Fee,-120.0,Sales
2025-01-06,Randalls - Employee Payslip Rate,-42.0,Sales
2025-01-10,Charlotte Lawrence,-28.0,Sales
2025-01-15,TI Accountancy - Admin Support throughout November,-54.0,Sales
2025-01-15,TI Accountancy - Admin Support throughout December,-30.0,Sales
2025-01-15,Time Freedom Alchemist - Hourly Bookkeeping Fee - Absolute Bubble Football,-10.0,Sales
2025-01-15,Time Freedom Alchemist - Hourly Bookkeeping Fee - Big Idea Media,-100.0,Sales
2025-01-15,Time Freedom Alchemist - Hourly Bookkeeping Fee - Big Idea Mentoring,-60.0,Sales
2025-01-15,Time Freedom Alchemist - Hourly Bookkeeping Fee - BWB Technologies,-100.0,Sales
2025-01-15,Time Freedom Alchemist - Hourly Bookkeeping Fee - Dogwood,-20.0,Sales
2025-01-15,Time Freedom Alchemist - Hourly Bookkeeping Fee - Hackney Chiropractic,-80.0,Sales
2025-01-15,Time Freedom Alchemist - Hourly Bookkeeping Fee - Nubian Skin,-45.0,Sales
2025-01-15,Time Freedom Alchemist - Hourly Bookkeeping Fee - Torque Monkey,-100.0,Sales
2025-01-15,Time Freedom Alchemist - Hourly Bookkeeping Fee - Scentventure,-25.0,Sales
2025-01-15,Time Freedom Alchemist - Hourly Accountancy Fee - Sports Coaches South West,-100.0,Sales
2025-01-15,Time Freedom Alchemist - Hourly Bookkeeping Fee - Top Bounce Tennis,-20.0,Sales
2025-01-15,Time Freedom Alchemist - Admin Support throughout November (Teresa),54.0,Sales
2025-01-15,TI Accountancy - Admin Support throughout November,54.0,Sales
2025-01-16,TI ACC LTD NO2 A/C - Faster Payments In,-54.0,Sales
2025-01-17,Charlotte Lawrence,-28.0,Sales
2025-01-24,Charlotte Lawrence,-28.0,Sales
2025-01-29,"Stanley, Sarah - Dormant Accounts",-50.0,Sales
2025-01-29,"Stanley, Sarah - Self Assessment Completion and Filing with HMRC for the above tax year",-50.0,Sales
2025-01-29,"Bunn, Lesley - Self Assessment Completion and Filing with HMRC for the above tax year",-175.0,Sales
2025-01-29,Grazia Caniglia - Self Assessment Completion and Filing with HMRC for the above tax year,-175.0,Sales
2025-01-31,Time Freedom Alchemist - Payroll - Absolute Bubble Football Limited,-15.0,Sales
2025-01-31,Time Freedom Alchemist - Tax Investigation Insurance - Absolute Bubble Football Limited,-5.0,Sales
2025-01-31,Time Freedom Alchemist - Payroll - Big Idea Media Ltd,-24.0,Sales
2025-01-31,Time Freedom Alchemist - Tax Investigation Insurance - Big Idea Media Ltd,-5.0,Sales
2025-01-31,Time Freedom Alchemist - Payroll - Big Idea Ventures Ltd,-15.0,Sales
2025-01-31,Time Freedom Alchemist - Tax Investigation Insurance - Big Idea Ventures Ltd,-5.0,Sales
2025-01-31,Time Freedom Alchemist - Payroll - BWB Technologies Limited,-24.0,Sales
2025-01-31,Time Freedom Alchemist - Tax Investigation Insurance - BWB Technologies Limited,-5.0,Sales
2025-01-31,Time Freedom Alchemist - Payroll -  Dogwood Adventure Play Limited,-15.0,Sales
2025-01-31,Time Freedom Alchemist - Tax Investigation Insurance - Dogwood Adventure Play Limited,-5.0,Sales
2025-01-31,Time Freedom Alchemist - Payroll - Hackney Chiropractic Limited,-30.0,Sales
2025-01-31,Time Freedom Alchemist - Tax Investigation Insurance - Hackney Chiropractic Limited,-5.0,Sales
2025-01-31,Time Freedom Alchemist - Payroll - Nubian Skin Limited,-15.0,Sales
2025-01-31,Time Freedom Alchemist - Tax Investigation Insurance - Nubian Skin Limited,-5.0,Sales
2025-01-31,Time Freedom Alchemist - Payroll - Scentventure Limited,-15.0,Sales
2025-01-31,Time Freedom Alchemist - Tax Investigation Insurance - Scentventure Limited,-5.0,Sales
2025-01-31,Time Freedom Alchemist - Year End - Sports Coaches South West Limited,-20.83,Sales
2025-01-31,Time Freedom Alchemist - Payroll - Sports Coaches South West Limited,-24.0,Sales
2025-01-31,Time Freedom Alchemist - Tax Investigation Insurance - Sports Coaches South West Limited,-5.0,Sales
2025-01-31,Time Freedom Alchemist - Tax Investigation Insurance - Top Bounce Tennis,-5.0,Sales
2025-01-31,Time Freedom Alchemist - Hourly Accountancy Fee - Absolute Bubble Football,-50.0,Sales
2025-01-31,Time Freedom Alchemist - Hourly Accountancy Fee - Big Idea Media,-95.0,Sales
2025-01-31,Time Freedom Alchemist - Hourly Accountancy Fee - Big Idea Ventures,-75.0,Sales
2025-01-31,Time Freedom Alchemist - Hourly Accountancy Fee - BWB Technologies,-155.0,Sales
2025-01-31,Time Freedom Alchemist - Hourly Accountancy Fee - Dogwood,-30.0,Sales
2025-01-31,Time Freedom Alchemist - Hourly Accountancy Fee - Hackney Chiropractic,-90.0,Sales
2025-01-31,Time Freedom Alchemist - Hourly Accountancy Fee - Nubian Skin,-40.0,Sales
2025-01-31,Time Freedom Alchemist - Hourly Accountancy Fee - Scentventure,-25.0,Sales
2025-01-31,Time Freedom Alchemist - Hourly Accountancy Fee - Sports Coaches Southwest,-95.0,Sales
2025-01-31,Time Freedom Alchemist - Hourly Accountancy Fee - Top Bounce,-25.0,Sales
2025-01-31,Time Freedom Alchemist - Self Assessment Completion and Filing with HMRC for the 2023/2024 tax year - 3 directors,-175.0,Sales
2025-01-31,Charlotte Lawrence,-28.0,Sales
2025-01-31,ADHD Advocate - Hourly Bookkeeping Fee,-240.0,Sales
2025-01-31,At Home Assistant - Admin Support throughout January 2025,-35.0,Sales
